control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
GDPR_Art_10,Chapter II -- Principles,"Processing of personal data relating to criminal convictions and offences (Art 10)",critical,"Processing of personal data relating to criminal convictions and offences or related security measures shall be carried out only under the control of official authority or when authorised by Union or Member State law providing for appropriate safeguards. Any comprehensive register of criminal convictions shall be kept only under the control of official authority.",context_doc,evidence/02-art-10-criminal-data.md,ISO_27001_A.5.12;HIPAA_164.514,,"https://gdpr-info.eu/art-10-gdpr/","Confirm legal authorisation before any criminal-conviction processing; restrict access to a defined need-to-know set."
GDPR_Art_11,Chapter II -- Principles,"Processing which does not require identification (Art 11)",high,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject, the controller shall not be obliged to maintain, acquire or process additional information to identify the data subject. Where the controller is able to demonstrate that it is not in a position to identify the data subject, Articles 15-20 shall not apply (unless the data subject provides additional information enabling identification).",context_doc,evidence/02-art-11-no-identification.md,,,,"https://gdpr-info.eu/art-11-gdpr/","Where re-identification is not required, document the design; refuse Art 15-20 requests with the documented rationale."
GDPR_Art_12,Chapter III -- Data Subject Rights,"Transparent information, communication and modalities (Art 12)",critical,"The controller shall provide information relating to processing and on the rights of the data subject (Articles 13-22 and 34) in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. Information shall be provided in writing or by other means, including where appropriate by electronic means, and free of charge. The controller shall facilitate the exercise of data subject rights under Articles 15-22. Action on a request shall be without undue delay and in any event within one month of receipt (extendable by two further months given complexity). If the controller does not take action on the request it shall inform the data subject without delay and at the latest within one month.",context_doc,evidence/03-art-12-transparency.md,ISO_27001_A.5.34;SOC_2_P5.1,,"https://gdpr-info.eu/art-12-gdpr/","Publish a privacy notice in plain language; implement a 30-day-SLA data-subject-rights inbox; reject vexatious requests in writing."
GDPR_Art_13,Chapter III -- Data Subject Rights,"Information to be provided where personal data are collected from the data subject (Art 13)",critical,"Where personal data are collected from the data subject, the controller shall, at the time the data are obtained, provide: identity and contact details of the controller (and where applicable of the controller's representative and DPO), purposes of processing and the lawful basis, recipients or categories of recipients, intent to transfer to a third country and the safeguards applied (Art 46), retention period, the data subject's rights (Art 15-22), the right to lodge a complaint with a supervisory authority, whether provision is a statutory / contractual requirement, the existence of automated decision-making including profiling (Art 22) and meaningful information about the logic involved.",context_doc,evidence/03-art-13-notice-direct.md,ISO_27001_A.5.34;SOC_2_P1.1,,"https://gdpr-info.eu/art-13-gdpr/","Author and version a privacy notice carrying every Art 13 element; serve it at collection touchpoints (web form, signup, intake)."
GDPR_Art_14,Chapter III -- Data Subject Rights,"Information to be provided where personal data have not been obtained from the data subject (Art 14)",critical,"Where personal data are not obtained from the data subject, the controller shall provide the same set of information as Art 13 within a reasonable period after obtaining the data and in any event at the latest within one month, or if disclosed to a recipient at the latest when first disclosed, or if disclosed to the data subject at first communication. The obligation does not apply where the data subject already has the information, where provision is impossible or would involve disproportionate effort (especially in archiving / research / statistical contexts subject to Art 89 safeguards), where obtaining or disclosure is expressly laid down by Union / Member State law, or where the data must remain confidential by professional secrecy.",context_doc,evidence/03-art-14-notice-indirect.md,ISO_27001_A.5.34,,"https://gdpr-info.eu/art-14-gdpr/","For each indirect-collection source (broker, public register, partner), draft and serve the Art 14 notice within the timescale."
GDPR_Art_15,Chapter III -- Data Subject Rights,"Right of access by the data subject (Art 15)",critical,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and where that is the case, access to the personal data and the following information: purposes; categories of data; recipients or categories of recipients; retention period or criteria; rights of rectification / erasure / restriction / objection; right to complain to a supervisory authority; source of data where not collected from the data subject; the existence of automated decision-making including profiling and meaningful information about the logic. A copy of the data shall be provided free of charge for the first copy.",manual_questionnaire,evidence/03-art-15-access-questionnaire.yaml,ISO_27001_A.5.34;SOC_2_C1.1,,"https://gdpr-info.eu/art-15-gdpr/","Stand up a self-service access portal or a documented manual workflow with the 30-day SLA; verify the format covers every Art 15(1)(a)-(h) element."
GDPR_Art_16,Chapter III -- Data Subject Rights,"Right to rectification (Art 16)",critical,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.",manual_questionnaire,evidence/03-art-16-rectification-questionnaire.yaml,ISO_27001_A.8.10,,"https://gdpr-info.eu/art-16-gdpr/","Wire a self-service rectification flow tied to the access portal; propagate corrections to recipients per Art 19."
GDPR_Art_17,Chapter III -- Data Subject Rights,"Right to erasure ('right to be forgotten') (Art 17)",critical,"The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay, and the controller shall have the obligation to erase, where one of the following applies: data no longer necessary for the purpose; consent withdrawn and no other legal ground; objection upheld; data unlawfully processed; legal obligation to erase; data collected from a child for information society services. Where the controller has made the data public, taking account of available technology and cost of implementation, it shall take reasonable steps including technical measures to inform other controllers processing the data. Exceptions: freedom of expression, legal obligation, public interest in the area of public health, archiving / research / statistical purposes, legal claims.",manual_questionnaire,evidence/03-art-17-erasure-questionnaire.yaml,ISO_27001_A.8.10;AI10P-DAT-02,,"https://gdpr-info.eu/art-17-gdpr/","Document the erasure procedure end-to-end (production stores, backups, downstream pipelines); rehearse it; measure achieved time-to-delete."
GDPR_Art_18,Chapter III -- Data Subject Rights,"Right to restriction of processing (Art 18)",critical,"The data subject shall have the right to obtain restriction of processing where one of the following applies: accuracy is contested (for a period enabling verification); processing is unlawful and the data subject opposes erasure preferring restriction; the controller no longer needs the data but the data subject requires them for legal claims; the data subject has objected pursuant to Art 21(1) pending verification of overriding legitimate grounds. Restricted data may only be processed (apart from storage) with consent, for legal claims, for protection of rights of another person, or for important public interest. The data subject shall be informed before the restriction is lifted.",context_doc,evidence/03-art-18-restriction.md,ISO_27001_A.8.10,,"https://gdpr-info.eu/art-18-gdpr/","Implement a 'restricted' state on records (soft-delete + processing flag) and respect it in every read path."
GDPR_Art_19,Chapter III -- Data Subject Rights,"Notification obligation regarding rectification or erasure of personal data or restriction of processing (Art 19)",high,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Articles 16, 17(1) and 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.",context_doc,evidence/03-art-19-third-party-propagation.md,ISO_27001_A.5.19,,"https://gdpr-info.eu/art-19-gdpr/","Maintain the recipient register (linked to Art 30 ROPA); pipe rectification / erasure / restriction events to each recipient."
GDPR_Art_20,Chapter III -- Data Subject Rights,"Right to data portability (Art 20)",critical,"The data subject shall have the right to receive the personal data concerning him or her which he or she has provided to a controller, in a structured, commonly used and machine-readable format, and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided where the processing is based on consent (Art 6(1)(a) or Art 9(2)(a)) or on a contract (Art 6(1)(b)) and the processing is carried out by automated means. Where technically feasible the data subject shall have the right to have the personal data transmitted directly from one controller to another.",manual_questionnaire,evidence/03-art-20-portability-questionnaire.yaml,ISO_27001_A.8.10;AI10P-DAT-02,,"https://gdpr-info.eu/art-20-gdpr/","Expose an export endpoint producing JSON / CSV for in-scope data; document the data dictionary; benchmark the export time at expected portfolio size."
GDPR_Art_21,Chapter III -- Data Subject Rights,"Right to object (Art 21)",critical,"The data subject shall have the right to object on grounds relating to his or her particular situation at any time to processing of personal data based on Art 6(1)(e) (public interest) or Art 6(1)(f) (legitimate interest), including profiling based on those provisions. The controller shall no longer process the data unless it demonstrates compelling legitimate grounds which override the interests, rights and freedoms of the data subject, or for the establishment, exercise or defence of legal claims. Where personal data are processed for direct marketing, the data subject shall have the right to object at any time, including profiling related to direct marketing -- and after objection the data shall not be processed for that purpose. At the latest at the time of first communication, the right to object shall be explicitly brought to the attention of the data subject.",manual_questionnaire,evidence/03-art-21-objection-questionnaire.yaml,ISO_27001_A.5.34;AI10P-OUT-01,,"https://gdpr-info.eu/art-21-gdpr/","Stand up an objection workflow; for direct-marketing in particular, expose a one-click opt-out and honour it across all channels."
GDPR_Art_22,Chapter III -- Data Subject Rights,"Automated individual decision-making, including profiling (Art 22)",critical,"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her. Exceptions: (a) necessary for entering into or performance of a contract, (b) authorised by Union or Member State law providing suitable safeguards, (c) based on explicit consent. In cases (a) and (c) the controller shall implement suitable measures to safeguard rights and freedoms and legitimate interests, at least the right to obtain human intervention on the part of the controller, to express his or her point of view and to contest the decision. Decisions referred to in (2) shall not be based on special categories of personal data unless Art 9(2)(a) or (g) applies and suitable measures are in place.",context_doc,evidence/03-art-22-automated-decisions.md,EU_AI_ACT_Art_14;AI10P-GOV-01;ISO_42001_A.6.3,,"https://gdpr-info.eu/art-22-gdpr/","Identify every solely-automated decision; either remove it from scope, secure explicit consent, or wire a human-in-the-loop with overturn authority."
GDPR_Art_23,Chapter III -- Data Subject Rights,"Restrictions (Art 23)",medium,"Union or Member State law to which the controller or processor is subject may restrict by way of legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5 in so far as its provisions correspond to the rights and obligations provided for in Articles 12 to 22, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard one of ten enumerated public interests (national security, defence, public security, prevention / investigation of criminal offences, etc.).",context_doc,evidence/03-art-23-restrictions.md,,,,"https://gdpr-info.eu/art-23-gdpr/","Identify the specific restricting law for the workload's jurisdiction; document where Art 12-22 rights are constrained and why."
GDPR_Art_24,Chapter IV -- Controller and Processor,"Responsibility of the controller (Art 24)",high,"Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary. Where proportionate, those measures shall include the implementation of appropriate data protection policies by the controller. Adherence to approved codes of conduct (Art 40) or approved certification mechanisms (Art 42) may be used as an element by which to demonstrate compliance.",context_doc,evidence/04-art-24-controller-responsibility.md,ISO_27001_A.5.1;SOC_2_CC1.4,,"https://gdpr-info.eu/art-24-gdpr/","Publish the controller's data-protection policy; map each policy clause to the operational control evidencing it."
GDPR_Art_25,Chapter IV -- Controller and Processor,"Data protection by design and by default (Art 25)",high,"Taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing, as well as the risks of varying likelihood and severity, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures (e.g. pseudonymisation) designed to implement data-protection principles effectively and to integrate the necessary safeguards into the processing (1). The controller shall implement appropriate measures to ensure that, by default, only personal data necessary for each specific purpose are processed -- in terms of the amount collected, the extent of processing, the period of storage and accessibility -- and shall ensure that by default personal data are not made accessible without the individual's intervention to an indefinite number of natural persons (2).",context_doc,evidence/04-art-25-privacy-by-design.md,ISO_27001_A.8.27;AI10P-DAT-02;AI10P-DAT-01,,"https://gdpr-info.eu/art-25-gdpr/","Adopt privacy-by-design templates for new services; default-off for non-essential collection; default-private for sharing."
GDPR_Art_26,Chapter IV -- Controller and Processor,"Joint controllers (Art 26)",high,"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers. They shall in a transparent manner determine their respective responsibilities for compliance with the obligations under this Regulation, in particular as regards the exercising of the rights of the data subject and their respective duties to provide the information referred to in Art 13 and 14, by means of an arrangement between them. The arrangement shall duly reflect the respective roles and relationships of the joint controllers vis-a-vis the data subjects. The essence of the arrangement shall be made available to the data subject. Irrespective of the terms of the arrangement, the data subject may exercise rights under this Regulation in respect of and against each controller.",context_doc,evidence/04-art-26-joint-controllers.md,ISO_27001_A.5.19,,"https://gdpr-info.eu/art-26-gdpr/","Identify joint controllers in scope; execute a joint-controller arrangement; publish the essence to data subjects."
GDPR_Art_27,Chapter IV -- Controller and Processor,"Representatives of controllers or processors not established in the Union (Art 27)",high,"Where Article 3(2) applies, the controller or processor shall designate in writing a representative in the Union. The obligation does not apply to processing which is occasional, does not include large-scale processing of special categories (Art 9) or criminal-conviction data (Art 10), and is unlikely to result in a risk to rights and freedoms; nor to public authorities or bodies. The representative shall be established in one of the Member States where the data subjects are.",manual_questionnaire,evidence/04-art-27-representative-questionnaire.yaml,,,,"https://gdpr-info.eu/art-27-gdpr/","If the controller / processor is outside the Union and Art 3(2) applies, appoint and document the EU representative."
GDPR_Art_28,Chapter IV -- Controller and Processor,"Processor (Art 28)",high,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject. Processing by a processor shall be governed by a contract or other legal act under Union or Member State law that is binding on the processor with regard to the controller and that sets out the subject matter, duration, nature and purpose of processing, the type of personal data and categories of data subjects, and the obligations and rights of the controller. The contract shall stipulate in particular that the processor: processes only on documented instructions, ensures persons authorised to process are subject to confidentiality, takes all measures required pursuant to Art 32, respects conditions for engaging another processor, assists the controller with data-subject rights and with Art 32-36 obligations, deletes or returns personal data after the end of services, and makes available all information necessary to demonstrate compliance.",context_doc,evidence/04-art-28-processor-agreement.md,ISO_27001_A.5.19;ISO_27001_A.5.23;SOC_2_CC9.2;HIPAA_164.504,,"https://gdpr-info.eu/art-28-gdpr/","For every processor in scope, execute a written Art 28 contract (DPA); verify the eight required clauses are present."
GDPR_Art_29,Chapter IV -- Controller and Processor,"Processing under the authority of the controller or processor (Art 29)",high,"The processor and any person acting under the authority of the controller or of the processor, who has access to personal data, shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law.",context_doc,evidence/04-art-29-authority.md,ISO_27001_A.5.15;ISO_27001_A.6.6,,"https://gdpr-info.eu/art-29-gdpr/","Document the instruction set the processor / staff operate under; audit any processing outside the documented set."
GDPR_Art_30,Chapter IV -- Controller and Processor,"Records of processing activities (ROPA) (Art 30)",high,"Each controller (and where applicable the representative) shall maintain a record of processing activities under its responsibility, containing: name and contact details of the controller (and joint controllers, representative, DPO); purposes; categories of data subjects and categories of personal data; categories of recipients including in third countries / international organisations; transfers to third countries / international organisations including identification of the country and the documented suitable safeguards; envisaged time limits for erasure; a general description of the technical and organisational security measures referred to in Art 32(1). Each processor shall maintain a record of all categories of processing activities carried out on behalf of a controller. The obligation does not apply to enterprises or organisations employing fewer than 250 persons unless the processing is likely to result in a risk to rights and freedoms, is not occasional, or includes special categories (Art 9) or criminal-conviction data (Art 10).",context_doc,evidence/04-art-30-ropa.md,ISO_27001_A.5.34;SOC_2_CC2.1,,"https://gdpr-info.eu/art-30-gdpr/","Author and maintain the controller ROPA and the processor ROPA; refresh on material change; expose to the supervisory authority on request."
GDPR_Art_31,Chapter IV -- Controller and Processor,"Cooperation with the supervisory authority (Art 31)",high,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks.",context_doc,evidence/04-art-31-cooperation.md,,,,"https://gdpr-info.eu/art-31-gdpr/","Name the supervisory-authority point of contact; rehearse a cooperation drill annually."
GDPR_Art_32_a,Chapter IV -- Controller and Processor,"Security of processing -- pseudonymisation and encryption (Art 32(1)(a))",high,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate: the pseudonymisation and encryption of personal data.",reuse_standard_signal,CRYPTO,ISO_27001_A.8.24;SOC_2_CC6.1;PCI_DSS_3.4;HIPAA_164.312_a_2_iv,GDPR_Art_32,"https://gdpr-info.eu/art-32-gdpr/","Encrypt personal data at rest and in transit with documented key management; apply pseudonymisation where the use case allows."
GDPR_Art_32_b,Chapter IV -- Controller and Processor,"Security of processing -- ongoing confidentiality, integrity, availability and resilience (Art 32(1)(b))",high,"The ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services.",reuse_standard_signal,IAM,ISO_27001_A.5.15;SOC_2_CC6.1;SOC_2_A1.2,GDPR_Art_32,"https://gdpr-info.eu/art-32-gdpr/","Maintain the CIA-triad controls evidenced by IAM, change-management, vulnerability-management and BCP / DR; map controls to ISO 27001 Annex A."
GDPR_Art_32_c,Chapter IV -- Controller and Processor,"Security of processing -- restore availability and access in a timely manner after incident (Art 32(1)(c))",high,"The ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident.",reuse_standard_signal,OBS,ISO_27001_A.5.30;SOC_2_A1.2,GDPR_Art_32,"https://gdpr-info.eu/art-32-gdpr/","Document and rehearse the RTO / RPO for personal-data systems; integrate with Art 33 / 34 breach response."
GDPR_Art_32_d,Chapter IV -- Controller and Processor,"Security of processing -- regular testing, assessing and evaluating effectiveness (Art 32(1)(d))",high,"A process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing.",manual_questionnaire,evidence/04-art-32-d-testing-questionnaire.yaml,ISO_27001_A.5.36;SOC_2_CC4.1,GDPR_Art_32,"https://gdpr-info.eu/art-32-gdpr/","Schedule annual pen-test / red-team and quarterly TVM cycle; track effectiveness metrics across the year."
GDPR_Art_33,Chapter IV -- Controller and Processor,"Notification of a personal data breach to the supervisory authority (Art 33)",high,"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Art 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons. Where the notification is not made within 72 hours, it shall be accompanied by reasons for the delay. The processor shall notify the controller without undue delay after becoming aware of a personal data breach. The notification shall at least describe the nature of the breach, communicate the DPO or contact point, describe the likely consequences, and the measures taken or proposed. The controller shall document any personal data breaches, comprising the facts, its effects and the remedial action taken.",manual_questionnaire,evidence/04-art-33-breach-notification-sa-questionnaire.yaml,ISO_27001_A.5.24;ISO_27001_A.5.25;SOC_2_CC7.4,,"https://gdpr-info.eu/art-33-gdpr/","Define and rehearse the breach-notification runbook with the 72-hour clock; capture every breach in the breach register."
GDPR_Art_34,Chapter IV -- Controller and Processor,"Communication of a personal data breach to the data subject (Art 34)",high,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay. The communication shall describe the nature of the breach in clear and plain language and contain at least the same information as in Art 33(3)(b)-(d). The communication shall not be required if: the controller has implemented appropriate technical and organisational protection measures that render the data unintelligible to any person not authorised to access them (e.g. strong encryption); the controller has taken subsequent measures that ensure the high risk is no longer likely to materialise; or it would involve disproportionate effort (in which case a public communication or similar measure is required instead).",manual_questionnaire,evidence/04-art-34-breach-communication-ds-questionnaire.yaml,ISO_27001_A.5.34,,"https://gdpr-info.eu/art-34-gdpr/","Maintain the high-risk threshold criteria; draft a plain-language communication template; rehearse against scenarios."
GDPR_Art_35_a,Chapter IV -- Controller and Processor,"DPIA -- when required (Art 35(1)-(4))",high,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A DPIA shall in particular be required in cases of: (a) systematic and extensive evaluation of personal aspects based on automated processing including profiling on which decisions are based that produce legal effects or similarly significantly affect the natural person; (b) processing on a large scale of special categories (Art 9) or criminal-conviction data (Art 10); (c) systematic monitoring of a publicly accessible area on a large scale. The supervisory authority shall establish and make public a list of the kind of processing operations subject to the DPIA requirement.",manual_questionnaire,evidence/04-art-35-a-dpia-threshold-questionnaire.yaml,EU_AI_ACT_Art_27;ISO_42001_A.6.2,,"https://gdpr-info.eu/art-35-gdpr/","Run the DPIA-threshold checklist on every new processing operation; archive the determination either way."
GDPR_Art_35_b,Chapter IV -- Controller and Processor,"DPIA -- content (Art 35(7))",high,"The DPIA shall contain at least: (a) a systematic description of the envisaged processing operations and the purposes, including where applicable the legitimate interest pursued; (b) an assessment of the necessity and proportionality of the processing in relation to the purposes; (c) an assessment of the risks to the rights and freedoms of data subjects; (d) the measures envisaged to address the risks, including safeguards, security measures and mechanisms to ensure the protection of personal data and to demonstrate compliance. Where appropriate, the controller shall seek the views of data subjects or their representatives. Compliance with approved codes of conduct (Art 40) shall be taken into account.",context_doc,evidence/04-art-35-b-dpia-content.md,EU_AI_ACT_Art_27;ISO_42001_A.6.2,,"https://gdpr-info.eu/art-35-gdpr/","Adopt a DPIA template covering the four required content elements; review with the DPO before sign-off."
GDPR_Art_35_c,Chapter IV -- Controller and Processor,"DPIA -- review (Art 35(11))",medium,"Where necessary, the controller shall carry out a review to assess if processing is performed in accordance with the data protection impact assessment, at least when there is a change of the risk represented by the processing operations.",context_doc,evidence/04-art-35-c-dpia-review.md,,,,"https://gdpr-info.eu/art-35-gdpr/","Trigger a DPIA review on material change (new model, new region, new vendor); record the review outcome."
GDPR_Art_36,Chapter IV -- Controller and Processor,"Prior consultation (Art 36)",high,"The controller shall consult the supervisory authority prior to processing where a data protection impact assessment under Article 35 indicates that the processing would result in a high risk in the absence of measures taken by the controller to mitigate the risk. Where the supervisory authority is of the opinion that the intended processing would infringe this Regulation, in particular where the controller has insufficiently identified or mitigated the risk, the supervisory authority shall provide written advice to the controller within eight weeks (extendable by six weeks given complexity).",manual_questionnaire,evidence/04-art-36-prior-consultation-questionnaire.yaml,,,"https://gdpr-info.eu/art-36-gdpr/","Define the residual-risk threshold for prior consultation; engage the supervisory authority at least 8 weeks before the go-live date."
