control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
BSI_C5_HRS-02,HRS -- Human Resources Security,Security awareness training programme,high,"All personnel with access to the cloud service must receive security awareness training at onboarding and at regular intervals. Training must cover relevant threats, policies, and responsibilities.",context_doc,evidence/hrs-02-awareness-training.md,BSI_ISMS1_A8;ISO_27001_A.6.3;GDPR_Art_29,,BSI C5:2020 HRS-02,Implement a mandatory annual security awareness programme; track completion rates.
BSI_C5_HRS-03,HRS -- Human Resources Security,Disciplinary process for security policy violations,medium,A documented disciplinary process must be in place for personnel who violate the information security policy.,context_doc,ops_runbooks,BSI_ORP2_A4;ISO_27001_A.6.4,,BSI C5:2020 HRS-03,Document the disciplinary procedure in the HR policy; include security violation scenarios; ensure legal review.
BSI_C5_HRS-04,HRS -- Human Resources Security,Security obligations on employment termination or role change,high,"Defined procedures must exist to manage information security obligations when employment is terminated or a role changes, covering equipment return, access revocation, and confidentiality.",context_doc,ops_runbooks,BSI_ORP2_A2;ISO_27001_A.6.5;GDPR_Art_28,,BSI C5:2020 HRS-04,Implement a joiner/mover/leaver process with access revocation within 24 hours of departure.
BSI_C5_IDM-01,IDM -- Identity and Access Management,Identity and access management policies,high,"Policies and procedures for identity and access management of internal and external users have been documented, communicated, and applied, covering provisioning, de-provisioning, and least privilege.",signal_prefix,IAM,BSI_ORP4_A1;ISO_27001_A.5.15;ISO_27001_A.5.18,,BSI C5:2020 IDM-01,Document IAM policies covering provisioning and de-provisioning; enforce least privilege; publish to all staff.
BSI_C5_IDM-02,IDM -- Identity and Access Management,Multi-factor authentication for privileged access,critical,"Multi-factor authentication must be enforced for all privileged access to cloud service infrastructure, management planes, and administrative interfaces.",signal_prefix,IAM,BSI_ORP4_A2;ISO_27001_A.8.5;ISO_27001_A.5.17,,BSI C5:2020 IDM-02,Enable MFA on all privileged accounts; enforce via identity provider policy; audit for exceptions monthly.
BSI_C5_IDM-03,IDM -- Identity and Access Management,Access rights review and recertification,high,Access rights granted to users of the cloud service infrastructure must be formally reviewed and recertified at regular intervals.,signal_prefix,IAM,ISO_27001_A.5.18;ISO_27001_A.8.2,,BSI C5:2020 IDM-03,Conduct quarterly access recertification campaigns; automate revocation on non-response; document results.
BSI_C5_IDM-04,IDM -- Identity and Access Management,Privileged access management and just-in-time access,critical,"Privileged access must be managed through a controlled process that limits standing privilege. Where feasible, just-in-time elevation must be applied and all privileged sessions logged.",signal_prefix,IAM,BSI_ORP4_A2;ISO_27001_A.8.2;ISO_27001_A.5.15,,BSI C5:2020 IDM-04,Deploy a privileged access management solution; implement session recording; enforce time-limited elevation.
BSI_C5_IDM-05,IDM -- Identity and Access Management,Service account management,high,"Service accounts used by applications or automated processes must be inventoried, assigned to a named owner, and subject to the same access control disciplines as human accounts.",signal_prefix,IAM,ISO_27001_A.5.15;ISO_27001_A.8.2,,BSI C5:2020 IDM-05,Maintain a service account register; assign owners; audit for unused or over-privileged accounts quarterly.
BSI_C5_IDM-06,IDM -- Identity and Access Management,"Joiners, movers, and leavers process for cloud access",high,"A defined joiner/mover/leaver process must ensure cloud service access is granted on hire, adjusted on role change, and revoked on departure.",signal_prefix,IAM,BSI_ORP2_A2;ISO_27001_A.5.18;GDPR_Art_24,,BSI C5:2020 IDM-06,Integrate HR system with identity provider; automate access revocation on departure.
BSI_C5_CRY-01,CRY -- Cryptography,Cryptography policies and key management,critical,"Policies and procedures for the use of cryptography and key management for the cloud service have been documented, communicated, and applied. Algorithms and key lengths must follow BSI TR-02102.",signal_prefix,CRYPTO,BSI_CON1_A1;ISO_27001_A.8.24;GDPR_Art_32,,BSI C5:2020 CRY-01; BSI TR-02102-1,Document a cryptography policy aligned to BSI TR-02102; enforce approved algorithms; review when TR-02102 is revised.
BSI_C5_CRY-02,CRY -- Cryptography,Encryption of data at rest for sensitive and personal data,critical,"Data classified as sensitive or containing personal data must be encrypted at rest using approved algorithms. Keys must be managed separately from the encrypted data.",signal_prefix,CRYPTO,BSI_CON1_A2;ISO_27001_A.8.24;GDPR_Art_32,,BSI C5:2020 CRY-02; BSI TR-02102-1,Enable encryption at rest for all sensitive storage; ensure keys are held in a managed key store separate from the data.
BSI_C5_CRY-03,CRY -- Cryptography,Key rotation and lifecycle management,high,"Cryptographic keys must be rotated at defined intervals and on security events. Key rotation procedures must be documented and tested. Old keys must be retained only as long as needed.",signal_prefix,CRYPTO,BSI_CON1_A4;ISO_27001_A.8.24,,BSI C5:2020 CRY-03,Configure automated key rotation; define rotation intervals per key type; test rotation procedures annually.
BSI_C5_CRY-04,CRY -- Cryptography,Certificate management and expiry monitoring,high,"TLS/SSL certificates must be inventoried, their expiry monitored, and renewal carried out before expiry. Use of self-signed certificates in production must be justified and approved.",signal_prefix,CRYPTO,ISO_27001_A.8.24;ISO_27001_A.5.20,,BSI C5:2020 CRY-04,Deploy certificate inventory monitoring with alerting 30 days before expiry; automate renewal where possible.
BSI_C5_COS-01,COS -- Communication Security,Network segmentation and zone architecture,high,"The cloud service network must be segmented into security zones based on trust and sensitivity. Production systems must be separated from development and test environments.",signal_prefix,TF,BSI_NET11_A1;ISO_27001_A.8.20;ISO_27001_A.8.22,,BSI C5:2020 COS-01,Define and implement network security zones; enforce zone boundaries with firewalls or security groups; document the architecture.
BSI_C5_COS-02,COS -- Communication Security,Firewall management and rule review process,high,"Firewall and network access control rules must be managed through a change-controlled process, reviewed at defined intervals, and all-permit rules justified and approved.",signal_prefix,TF,BSI_NET32_A1;ISO_27001_A.8.20;ISO_27001_A.8.23,,BSI C5:2020 COS-02,Conduct firewall rule reviews at least twice per year; automate detection of unused rules.
BSI_C5_COS-03,COS -- Communication Security,Remote access security,high,"Remote access to the cloud service administration plane must use encrypted channels with MFA. Sessions must be logged. Access from unmanaged devices must be restricted.",signal_prefix,IAM,BSI_NET33_A1;ISO_27001_A.8.20;ISO_27001_A.8.5,,BSI C5:2020 COS-03,Enforce MFA for all remote access; log all sessions; block unmanaged device connections.
BSI_C5_COS-04,COS -- Communication Security,Endpoint protection and malware prevention,high,"Endpoints and systems used to deliver the cloud service must be protected against malware. Malware protection must be current and cover real-time scanning. Detection events must be alerted.",signal_prefix,OBS,BSI_SYS11_A2;ISO_27001_A.8.7,,BSI C5:2020 COS-04,Deploy endpoint protection on all service-delivering systems; enforce automatic signature updates.
BSI_C5_OPS-01,OPS -- Operations,Change management process for cloud infrastructure,high,"A formal change management process must govern all changes to cloud service infrastructure and configuration. Changes must be documented, reviewed, approved, and tested before production deployment.",context_doc,ops_runbooks,BSI_OPS112_A1;ISO_27001_A.8.32,,BSI C5:2020 OPS-01,Implement a change management workflow with mandatory approval gates; enforce through the CI/CD pipeline.
BSI_C5_OPS-02,OPS -- Operations,Patch and vulnerability management,high,"A systematic process for identifying, evaluating, and applying security patches must be in place. Vulnerability scanning must be conducted at regular intervals and critical patches applied within a defined timeframe.",signal_prefix,SBOM,BSI_OPS113_A1;ISO_27001_A.8.8;ISO_27001_A.8.19,,BSI C5:2020 OPS-02,Establish patch SLAs by severity; automate patch deployment where possible; track exceptions.
BSI_C5_OPS-03,OPS -- Operations,Capacity and performance management,medium,Capacity and performance of cloud service resources must be monitored and managed to ensure agreed service levels are met. Capacity planning must consider expected growth.,signal_prefix,OBS,BSI_OPS112_A3;ISO_27001_A.8.6,,BSI C5:2020 OPS-03,Implement capacity monitoring dashboards with alerting at defined thresholds; conduct quarterly capacity reviews.
BSI_C5_OPS-04,OPS -- Operations,Asset management -- inventory of information assets,medium,"The cloud provider maintains a complete and current inventory of information assets relevant to the cloud service. The inventory must be reviewed and updated at defined intervals.",context_doc,cmdb_export,BSI_OPS22_A2;ISO_27001_A.5.9;ISO_27001_A.5.10,,BSI C5:2020 OPS-04,Implement a CMDB covering all cloud service components; update on every infrastructure change; review completeness quarterly.
BSI_C5_OPS-05,OPS -- Operations,Security configuration baseline and hardening,high,"Security configuration baselines must be defined and applied to all systems. Baselines must be based on recognised hardening standards. Deviations must be tracked and justified.",signal_prefix,TF,BSI_SYS11_A1;ISO_27001_A.8.9;ISO_27001_A.8.8,,BSI C5:2020 OPS-05,Define hardening baselines per system type; enforce via IaC; run continuous compliance scanning and alert on drift.
BSI_C5_OPS-06,OPS -- Operations,Logging and monitoring strategy,high,"A logging and monitoring strategy must be documented and implemented. Security-relevant events must be logged, protected from tampering, retained for a defined period, and reviewed.",signal_prefix,OBS,BSI_DER1_A1;ISO_27001_A.8.15;ISO_27001_A.8.16;GDPR_Art_32,,BSI C5:2020 OPS-06,Define logging requirements; centralise logs in tamper-evident store; configure retention per regulatory requirements.
BSI_C5_AVL-01,AVL -- Availability and Resilience,Business continuity plan covering cloud services,medium,"A business continuity plan applicable to the cloud service must be documented, approved, and tested at regular intervals, covering disruption scenarios and communication procedures.",context_doc,ops_runbooks,BSI_DER4_A1;ISO_27001_A.5.29;ISO_27001_A.5.30,,BSI C5:2020 AVL-01,Author and maintain a cloud-specific BCP; test at least annually through a tabletop exercise.
BSI_C5_AVL-02,AVL -- Availability and Resilience,Recovery time and recovery point objectives defined and tested,medium,"RTO and RPO for the cloud service must be defined based on business impact analysis. Actual recovery capability must be tested at regular intervals and results compared against objectives.",context_doc,ops_runbooks,BSI_DER4_A2;ISO_27001_A.5.30,,BSI C5:2020 AVL-02,Document RTO and RPO per service tier; conduct recovery tests at least annually.
BSI_C5_AVL-03,AVL -- Availability and Resilience,Geographic redundancy and failover capability,medium,"Cloud service components supporting critical functions must be deployed across geographically separated locations. Failover mechanisms must be tested. Geographic distribution must not violate data residency requirements.",signal_prefix,TF,ISO_27001_A.5.30;ISO_27001_A.8.14,,BSI C5:2020 AVL-03,Deploy across at least two availability zones; test failover annually; confirm data residency alignment.
BSI_C5_AVL-04,AVL -- Availability and Resilience,Backup strategy and restore testing,high,"A documented backup strategy must be in place. Backups must be performed at intervals aligned with defined RPOs. Restore procedures must be tested regularly. Backup copies must be stored in a separate location.",context_doc,ops_runbooks,BSI_CON3_A1;ISO_27001_A.8.13,,BSI C5:2020 AVL-04,Implement automated backup with offsite storage; test restores quarterly; document the schedule.
BSI_C5_DEV-01,DEV -- Procurement and Development,Security requirements in software procurement,high,"Information security requirements must be identified and documented before procuring software components. Suppliers must demonstrate meeting requirements. Security clauses must be in procurement contracts.",context_doc,evidence/dev-01-procurement-security.md,BSI_OPS22_A1;ISO_27001_A.5.19;ISO_27001_A.5.20,,BSI C5:2020 DEV-01,Define security acceptance criteria for procured software; include requirements in RFPs and contracts.
BSI_C5_DEV-02,DEV -- Procurement and Development,Secure software development lifecycle,high,"A secure SDLC must be applied to all software developed for the cloud service. Threat modelling, security testing, and code review must be integrated from design through deployment.",context_doc,evidence/dev-02-secure-sdlc.md,BSI_APP31_A1;ISO_27001_A.8.25;ISO_27001_A.8.26,,BSI C5:2020 DEV-02,Document SSDLC practices including threat modelling; enforce via CI pipeline; train developers on secure coding.
BSI_C5_DEV-03,DEV -- Procurement and Development,Code review and security testing before release,high,"All code changes must undergo review before production deployment. Security testing including SAST and DAST must be integrated into the release pipeline. Critical findings must block release.",signal_prefix,SBOM,BSI_APP31_A2;ISO_27001_A.8.26;ISO_27001_A.8.29,,BSI C5:2020 DEV-03,Gate releases on SAST scan completion; block critical findings; retain scan artefacts in the release record.
BSI_C5_DEV-04,DEV -- Procurement and Development,Vulnerability disclosure and responsible disclosure policy,medium,"A responsible disclosure policy must exist for the cloud service, defining how researchers can report vulnerabilities and how the provider will respond, including a commitment against legal action for good-faith reporters.",context_doc,ops_runbooks,ISO_27001_A.5.8;ISO_27001_A.8.8,,BSI C5:2020 DEV-04,Publish a responsible disclosure policy; define an internal triage process; track disclosed vulnerabilities to closure.
BSI_C5_INM-01,INM -- Incident Management,Incident response plan and team defined,high,"A documented incident response plan must exist defining roles, responsibilities, communication paths, and escalation procedures. An IRT with named members must be identified and the plan tested regularly.",context_doc,evidence/inm-01-incident-response-plan.md,BSI_DER21_A1;ISO_27001_A.5.26;ISO_27001_A.5.24,,BSI C5:2020 INM-01,Author and publish an incident response plan; identify and train the IRT; conduct a tabletop exercise at least annually.
BSI_C5_INM-02,INM -- Incident Management,Incident classification and escalation procedure,high,"A classification scheme for security incidents must be defined and applied. Classification must drive escalation paths, response timeframes, and notification obligations.",context_doc,ops_runbooks,BSI_DER21_A2;ISO_27001_A.5.25;ISO_27001_A.5.26,,BSI C5:2020 INM-02,Define and publish an incident classification matrix; train all staff on the reporting path.
BSI_C5_INM-03,INM -- Incident Management,Notification to BSI for significant cloud security incidents,high,"Significant security incidents must be reported to the BSI per applicable regulatory obligations. The process for determining notification obligations and the notification template must be documented and tested.",context_doc,evidence/inm-03-bsi-notification.md,BSI_DER21_A3;GDPR_Art_33;ISO_27001_A.5.26,,BSI C5:2020 INM-03,Document incident reporting obligations to BSI; assign a notification owner; include BSI notification in IRP exercises.
BSI_C5_INM-04,INM -- Incident Management,Post-incident review and lessons learned,medium,"Following any significant security incident, a post-incident review must identify root cause, evaluate response effectiveness, and produce improvement actions with owners and target dates.",context_doc,ops_runbooks,ISO_27001_A.5.27;ISO_27001_A.5.26,,BSI C5:2020 INM-04,Mandate post-incident reviews for P1 and P2 incidents; track improvement actions in the risk register.
BSI_C5_SIM-01,SIM -- Security Incident Management,Security event monitoring and alerting,high,"Security-relevant events must be collected, correlated, and monitored. Alerting rules must detect known attack patterns and anomalous behaviour. Alerts must be routed to a team capable of triage and response.",signal_prefix,OBS,BSI_DER1_A2;ISO_27001_A.8.15;ISO_27001_A.8.16,,BSI C5:2020 SIM-01,Deploy a SIEM or equivalent; define detection rules; assign on-call triage responsibilities.
BSI_C5_SIM-02,SIM -- Security Incident Management,Forensic capability and evidence preservation,medium,"The cloud service must maintain capability to collect and preserve forensic evidence. Log retention must support forensic investigation for at least the minimum regulatory period. Chain of custody must be documented.",signal_prefix,OBS,BSI_DER31_A1;ISO_27001_A.5.28;ISO_27001_A.8.15,,BSI C5:2020 SIM-02,Define log retention periods; implement tamper-evident log storage; document evidence preservation procedures.
BSI_C5_SIM-03,SIM -- Security Incident Management,Threat intelligence integration,medium,"Threat intelligence relevant to the cloud service threat landscape must be gathered from reliable sources and integrated into monitoring and detection rules. Newly disclosed vulnerabilities must be assessed for applicability.",signal_prefix,OBS,BSI_DER1_A3;ISO_27001_A.5.7,,BSI C5:2020 SIM-03,Subscribe to BSI-CERT advisories; review and apply actionable intelligence within defined SLAs.
BSI_C5_COM-01,COM -- Compliance,Legal and regulatory compliance register,medium,"A register of legal, regulatory, and contractual obligations applicable to the cloud service must be maintained, with assigned owners and at least annual review.",context_doc,ops_runbooks,BSI_ORP5_A1;ISO_27001_A.5.31;GDPR_Art_24,,BSI C5:2020 COM-01,Establish a compliance register; assign owners; review after regulatory changes.
BSI_C5_COM-02,COM -- Compliance,Internal audit programme covering C5 criteria,medium,"An internal audit programme must exist that periodically assesses the cloud service against the C5 criteria. Audit plans, findings, and action tracking must be documented and reported to management.",context_doc,evidence/com-02-audit-programme.md,ISO_27001_A.5.35;ISO_27001_A.5.36,,BSI C5:2020 COM-02,Define an annual audit plan covering C5 domains; track findings to closure; report results to management.
BSI_C5_COM-03,COM -- Compliance,C5 attestation process management,medium,"A process for managing the C5 attestation engagement must be defined, covering auditor selection, evidence provision, finding tracking, and report publication.",context_doc,ops_runbooks,ISO_27001_A.5.35,,BSI C5:2020 COM-03,Establish an attestation project plan with milestone tracker; assign an attestation owner.
BSI_C5_PSS-01,PSS -- Portability and Interoperability,Data export capability and format documentation,medium,"The cloud service must provide customers with the capability to export their data in a documented, machine-readable format. Export capability must be tested. Proprietary lock-in must be disclosed.",context_doc,evidence/pss-01-data-portability.md,GDPR_Art_20;ISO_27001_A.5.10,,BSI C5:2020 PSS-01,Document export formats and procedures; provide self-service export; test export completeness annually.
BSI_C5_PSS-02,PSS -- Portability and Interoperability,Service termination and data return or deletion,medium,"On service termination, customers must be able to retrieve all their data within a defined period. Customer data must be securely deleted after the retrieval window. A certificate of deletion must be available on request.",context_doc,ops_runbooks,GDPR_Art_17;GDPR_Art_28;ISO_27001_A.8.10,,BSI C5:2020 PSS-02,Define and publish service termination procedures; implement secure deletion; issue deletion certificates.
BSI_C5_BCP-01,BCP -- Business Continuity Planning,Crisis communication plan for cloud service disruption,medium,"A crisis communication plan must exist covering significant cloud service disruptions, defining stakeholder notification procedures, communication channels, and spokesperson roles.",context_doc,ops_runbooks,ISO_27001_A.5.29;ISO_27001_A.5.30,,BSI C5:2020 BCP-01,Author a crisis communication plan; pre-define notification templates; include communication in BCP exercises.
BSI_C5_BCP-02,BCP -- Business Continuity Planning,Supplier dependency mapping and exit strategy,medium,"Dependencies on critical third-party suppliers must be mapped. Exit strategies for critical suppliers must be documented. Single points of failure in the supply chain must be identified and mitigated.",context_doc,ops_runbooks,BSI_OPS22_A4;ISO_27001_A.5.21;ISO_27001_A.5.22,,BSI C5:2020 BCP-02,Maintain a supplier dependency map; define exit criteria and transition plans; review annually.
BSI_C5_DAT-01,DAT -- Data Security,Data security -- classification and protection,high,"Data of the cloud customer is classified and protected according to its protection requirements for confidentiality, integrity, and availability. Classification criteria and protection measures must be documented.",signal_prefix,DATA,BSI_CON2_A1;ISO_27001_A.5.12;ISO_27001_A.5.13,,BSI C5:2020 DAT-01,Define a data classification scheme; apply labels at creation or ingestion; enforce protection measures by tier.
BSI_C5_DAT-02,DAT -- Data Security,Data residency controls and documentation,high,"Geographic locations for customer data storage, processing, and transmission must be documented and controllable. Cross-border transfers must be disclosed and subject to legal transfer mechanisms.",signal_prefix,DATA,GDPR_Art_46;GDPR_Art_49;ISO_27001_A.5.33,,BSI C5:2020 DAT-02,Document data residency locations; enforce via infrastructure policy; alert on violations; disclose cross-border transfers.
BSI_C5_DAT-03,DAT -- Data Security,Data deletion and secure disposal,high,"Customer data must be securely deleted at the end of the retention period, on customer request, or on service termination. Deletion must be irreversible and cover all copies.",signal_prefix,DATA,GDPR_Art_17;BSI_CON6_A2;ISO_27001_A.8.10,,BSI C5:2020 DAT-03,Implement automated retention enforcement; cover backups in the deletion workflow; issue deletion certificates.
BSI_C5_DAT-04,DAT -- Data Security,Data processing agreement with subprocessors,high,"Where subprocessors handle customer data, data processing agreements must be in place imposing obligations equivalent to those the provider carries to the customer. Subprocessors must be disclosed.",context_doc,ops_runbooks,GDPR_Art_28;ISO_27001_A.5.19,,BSI C5:2020 DAT-04,Maintain an up-to-date subprocessor list; ensure DPAs are in place; notify customers before adding new subprocessors.
BSI_C5_PI-01,PI -- Personal Information / Privacy,Privacy by design in cloud service architecture,high,"Privacy requirements must be addressed from the earliest stages of cloud service design. Data minimisation, purpose limitation, and storage limitation must be incorporated. PIAs must be conducted for high-risk processing.",context_doc,ops_runbooks,GDPR_Art_25;ISO_27001_A.5.34,,BSI C5:2020 PI-01,Conduct privacy impact assessments for new processing; embed privacy review in the SSDLC design phase.
BSI_C5_PI-02,PI -- Personal Information / Privacy,Data subject rights fulfilment process,high,"Processes must exist to fulfil data subject rights including access, erasure, rectification, restriction, and portability. Requests must be handled within legally mandated timeframes.",context_doc,ops_runbooks,GDPR_Art_12;GDPR_Art_17;GDPR_Art_20;ISO_27001_A.5.34,,BSI C5:2020 PI-02,Define a data subject rights handling procedure; log all requests and responses; train customer-facing staff.
BSI_C5_PI-03,PI -- Personal Information / Privacy,Encrypted transmission of data,high,"Data transmitted over public networks must be protected using strong encryption and authenticated channels. Protocols and cipher suites must conform to BSI TR-02102.",signal_prefix,CRYPTO,BSI_NET33_A1;ISO_27001_A.8.24;GDPR_Art_32,,BSI C5:2020 PI-03,Enforce TLS 1.2+ on all public endpoints; disable weak cipher suites; scan for unencrypted paths quarterly.
