control_id,pillar,title,severity,description,evidence_kind,evidence_value,maps_to,overrides,references,remediation_hint
BSI_ORP2_A4,"ORP -- Organisation and Personnel",Regulated use of external staff and contractors (ORP.2.A4),high,"External personnel must be subject to information security requirements equivalent to those applied to internal staff for the scope of their engagement. Non-disclosure agreements must be signed before access is granted. Access must be limited to the minimum necessary for the contracted task and must be reviewed regularly.",context_doc,evidence/orp2-a4-external-staff.md,GDPR_Art_28;GDPR_Art_32;ISO_27001_A.6.2;ISO_27001_A.6.6,,https://www.bsi.bund.de/dok/ORP-2,"Include security obligations in external staff contracts; maintain a register of active contractors with their access scope; revoke all access at contract end."
BSI_ORP4_A1,"ORP -- Organisation and Personnel",Identity and access management policy (ORP.4.A1),high,"A policy governing the management of identities, authentication, and access rights must be established and applied to all systems and applications in scope. The policy must address account lifecycle management, privileged access, authentication strength requirements, and the handling of service accounts.",context_doc,evidence/orp4-a1-iam-policy.md,GDPR_Art_32;ISO_27001_A.5.16;ISO_27001_A.8.2,,https://www.bsi.bund.de/dok/ORP-4,"Write and approve an IAM policy; enforce it through periodic access reviews; align privileged access procedures with the policy."
BSI_ORP4_A2,"ORP -- Organisation and Personnel",User account and authorisation management (ORP.4.A2),high,"User accounts must be created, modified, and deleted through a documented, authorised process. All accounts must be assigned to a named individual; shared or anonymous accounts are prohibited except where technically unavoidable and explicitly approved. Unused accounts must be disabled after a defined inactivity period.",reuse_standard_signal,IAM,GDPR_Art_32;ISO_27001_A.5.18;ISO_27001_A.8.5,,https://www.bsi.bund.de/dok/ORP-4,"Implement an automated account provisioning workflow; set an inactivity threshold of 90 days or less; run quarterly access certification campaigns."
BSI_ORP5_A1,"ORP -- Organisation and Personnel",Identification of legal and regulatory requirements (ORP.5.A1),high,"All legal, regulatory, and contractual requirements relevant to information security must be identified, documented, and their implications assessed. Requirements must include data protection obligations, sector-specific regulations, and contractual obligations from customer and partner agreements.",context_doc,evidence/orp5-a1-legal-requirements.md,GDPR_Art_24;GDPR_Art_5_1_a;ISO_27001_A.5.31,,https://www.bsi.bund.de/dok/ORP-5,"Maintain a compliance register mapping each applicable law or regulation to a responsible owner; review at least annually and when the regulatory landscape changes."
BSI_ORP5_A2,"ORP -- Organisation and Personnel",Compliance monitoring (ORP.5.A2),high,"Regular checks must be performed to confirm that legal, regulatory, and policy requirements are being met. Non-compliance findings must be tracked and remediated within defined timescales. Results must be reported to management at appropriate intervals.",context_doc,evidence/orp5-a2-compliance-monitoring.md,GDPR_Art_24;ISO_27001_A.5.36,,https://www.bsi.bund.de/dok/ORP-5,"Establish a compliance calendar with assigned owners; report compliance posture to management quarterly; track open gaps in the remediation register."
BSI_CON1_A1,"CON -- Concepts and Procedures",Definition of cryptographic requirements (CON.1.A1),high,"The requirements for cryptographic protection of data at rest, data in transit, and data in use must be defined in a cryptographic policy. The policy must specify acceptable algorithms, minimum key lengths, permitted protocols, and key management procedures. The BSI TR-02102 technical guideline must be used as the reference for algorithm selection.",reuse_standard_signal,CRYPTO,GDPR_Art_32;GDPR_Art_5_1_f;ISO_27001_A.8.24,,https://www.bsi.bund.de/dok/CON-1,"Adopt BSI TR-02102 for algorithm selection; enforce TLS 1.2 minimum (TLS 1.3 preferred) for all in-transit paths; document encryption coverage for all stores holding personal data."
BSI_CON1_A2,"CON -- Concepts and Procedures",Cryptographic key management (CON.1.A2),high,"Cryptographic keys must be generated, distributed, stored, rotated, and destroyed according to a defined key management procedure. Key material must be protected from unauthorised disclosure, substitution, and modification. Private keys must never be stored alongside the data they protect or in a form accessible to application code at rest.",reuse_standard_signal,CRYPTO,GDPR_Art_32;ISO_27001_A.8.24,,https://www.bsi.bund.de/dok/CON-1,"Use a dedicated key management service (KMS) or Hardware Security Module (HSM) for key storage; define and test key rotation schedules; prohibit software-level plaintext key storage."
BSI_CON1_A4,"CON -- Concepts and Procedures",Cryptographic protection of stored data (CON.1.A4),high,"Data classified as confidential or above must be protected by encryption at rest using approved algorithms as defined in the cryptographic policy (CON.1.A1). Encrypted backups must use keys that are distinct from the live data encryption keys. The coverage of at-rest encryption must be documented for each data store.",reuse_standard_signal,CRYPTO,GDPR_Art_32;GDPR_Art_9;ISO_27001_A.8.24,,https://www.bsi.bund.de/dok/CON-1,"Enable volume or field-level encryption for all stores holding personal data; verify no plaintext copy exists in any backup path; test decryption as part of recovery drills."
BSI_CON2_A1,"CON -- Concepts and Procedures",Obligation to data protection (CON.2.A1),high,"All staff who handle personal data must be formally committed to data protection obligations. This commitment must cover applicable data protection legislation, the institution's data protection policy, and the consequences of non-compliance. A data protection officer must be appointed where required by law, and their independence must be ensured.",manual_questionnaire,evidence/con2-a1-data-protection-questionnaire.yaml,GDPR_Art_37;GDPR_Art_38;GDPR_Art_29;ISO_27001_A.5.34,,https://www.bsi.bund.de/dok/CON-2,"Appoint a data protection officer (or document why appointment is not legally required); maintain signed data protection commitments for all relevant staff; confirm DPO independence."
BSI_CON3_A1,"CON -- Concepts and Procedures",Backup requirements analysis (CON.3.A1),high,"The recovery point objective (RPO) and recovery time objective (RTO) must be determined for each information asset based on its criticality and business impact. Requirements must be documented and reviewed when the system or its data classification changes. Results must inform the backup concept (CON.3.A2).",context_doc,evidence/con3-a1-backup-requirements.md,GDPR_Art_32;ISO_27001_A.8.13,,https://www.bsi.bund.de/dok/CON-3,"Conduct and document a business impact analysis for each application; confirm RPO and RTO with the application owner; align backup frequency and retention with the agreed objectives."
BSI_CON3_A2,"CON -- Concepts and Procedures",Backup concept (CON.3.A2),high,"A backup concept must define the scope, frequency, retention period, storage media, and off-site or out-of-region placement for all backups. The concept must address backup of all system and application data required to recover to the agreed RPO. Backup of configuration data must be included.",context_doc,evidence/con3-a2-backup-concept.md,GDPR_Art_32;ISO_27001_A.8.13,,https://www.bsi.bund.de/dok/CON-3,"Write and approve a backup concept; verify it covers all in-scope systems including databases, object storage, and configuration; confirm off-site or out-of-region placement for at least one copy."
BSI_CON3_A3,"CON -- Concepts and Procedures",Minimum data backup requirements (CON.3.A3),high,"All relevant data must be backed up at a frequency that meets the agreed RPO. Backup completeness and integrity must be verified automatically. Backup media and destinations must be protected against unauthorised access and environmental hazards to a standard equivalent to the source systems.",reuse_standard_signal,DATA,GDPR_Art_32;ISO_27001_A.8.13,,https://www.bsi.bund.de/dok/CON-3,"Automate backup jobs and configure alerting on failure; perform monthly restore tests and document the outcome; encrypt backup media with keys distinct from the live data keys."
BSI_CON6_A1,"CON -- Concepts and Procedures",Information security requirements for software procurement (CON.6.A1),high,"Information security requirements must be defined before procuring software or cloud services. Requirements must cover authentication, access control, audit logging, cryptographic capabilities, and data residency. Security requirements must be included as contractual criteria and verified before contract signature.",context_doc,evidence/con6-a1-procurement-security.md,GDPR_Art_28;ISO_27001_A.5.20,,https://www.bsi.bund.de/dok/CON-6,"Maintain a security requirements checklist for procurement; include it in every request for proposal and contract review; obtain evidence of compliance before go-live."
BSI_CON6_A2,"CON -- Concepts and Procedures",Secure software deployment (CON.6.A2),high,"Software and configuration changes must be deployed through a documented, authorised process. Deployments must be authorised, tested in a non-production environment, and capable of being rolled back if they introduce security regressions. Deployment logs must be retained for a defined minimum period.",context_doc,evidence/con6-a2-secure-deployment.md,GDPR_Art_25;GDPR_Art_32;ISO_27001_A.8.19;ISO_27001_A.8.32,,https://www.bsi.bund.de/dok/CON-6,"Implement a CI/CD pipeline with gated security tests; require explicit approval for production deployments; retain deployment audit logs for at least 90 days."
BSI_CON8_A1,"CON -- Concepts and Procedures",Defining security requirements for software development (CON.8.A1),high,"Information security requirements must be defined and integrated into the software development lifecycle from the requirements phase. Requirements must address authentication, authorisation, session management, input validation, error handling, and cryptographic protection of sensitive data. Requirements must be verified at each development gate.",context_doc,evidence/con8-a1-dev-security-requirements.md,GDPR_Art_25;GDPR_Art_32;ISO_27001_A.8.26;ISO_27001_A.8.27,,https://www.bsi.bund.de/dok/CON-8,"Publish secure development standards aligned to OWASP ASVS or equivalent; run mandatory security review gates at requirements, design, and pre-release phases; track deviations as risks."
BSI_CON8_A2,"CON -- Concepts and Procedures",Software acceptance and release process (CON.8.A2),high,"Software must pass defined security acceptance criteria before release to production. Acceptance criteria must include security tests, vulnerability scans, and code review. Deviations from acceptance criteria must be risk-accepted by a named authority and documented before release.",context_doc,evidence/con8-a2-acceptance.md,GDPR_Art_25;ISO_27001_A.8.29,,https://www.bsi.bund.de/dok/CON-8,"Define security acceptance gates in the release checklist; require a named security sign-off before production deployment; log each release decision with the accepting authority."
BSI_CON8_A7,"CON -- Concepts and Procedures",Test data protection (CON.8.A7),high,"Production data must not be used for development or testing purposes unless there is no viable alternative and appropriate technical and organisational measures are in place. Where use of production data is unavoidable, it must be pseudonymised or anonymised before use, access must be restricted to the minimum necessary, and the use must be explicitly authorised.",reuse_standard_signal,DATA,GDPR_Art_25;GDPR_Art_5_1_c;ISO_27001_A.8.33,,https://www.bsi.bund.de/dok/CON-8,"Establish a test data management process; generate synthetic or anonymised test datasets; document any approved use of production data with DPO sign-off."
BSI_OPS112_A1,"OPS -- Operations",Change management concept (OPS.1.1.2.A1),high,"A documented change management process must govern all changes to IT systems, applications, and configurations. The process must cover request, risk assessment, authorisation, implementation, and post-implementation review. Emergency change procedures must be defined and applied only in genuine emergencies.",context_doc,evidence/ops112-a1-change-management.md,GDPR_Art_32;ISO_27001_A.8.32,,https://www.bsi.bund.de/dok/OPS-1-1-2,"Implement a change management workflow covering standard, normal, and emergency change categories; require risk impact assessment for all normal and emergency changes."
BSI_OPS112_A2,"OPS -- Operations",Maintaining operations during changes (OPS.1.1.2.A2),high,"Changes must be planned to minimise disruption to normal operations. Where possible, changes must be deployed in defined maintenance windows. Rollback plans must be defined and tested before deployment. Significant changes must be rehearsed in a non-production environment representative of production.",context_doc,evidence/ops112-a2-change-operations.md,GDPR_Art_32;ISO_27001_A.8.32,,https://www.bsi.bund.de/dok/OPS-1-1-2,"Define maintenance windows; require a tested rollback plan for all non-standard changes; conduct a post-change review within 48 hours of each significant deployment."
BSI_OPS112_A3,"OPS -- Operations",Secure change testing (OPS.1.1.2.A3),high,"All changes must be tested prior to deployment in a test environment that is representative of the production environment. Security regression tests must be included in the test suite for changes to security-relevant components. Test results must be documented and linked to the change record.",context_doc,evidence/ops112-a3-change-testing.md,GDPR_Art_25;ISO_27001_A.8.32,,https://www.bsi.bund.de/dok/OPS-1-1-2,"Maintain a dedicated staging environment; require test sign-off before production deployment; include security regression tests in the automated test suite."
BSI_OPS113_A1,"OPS -- Operations",Patch and vulnerability management concept (OPS.1.1.3.A1),high,"A documented patch and vulnerability management concept must define the process for identifying, assessing, prioritising, and remediating vulnerabilities across all IT components in scope. The concept must specify escalation paths for critical vulnerabilities and the maximum time-to-patch per severity class.",reuse_standard_signal,SBOM,GDPR_Art_32;ISO_27001_A.8.8,,https://www.bsi.bund.de/dok/OPS-1-1-3,"Publish and approve a patch management policy with time-to-patch SLAs (critical: 48 hours, high: 30 days); assign an owner per vulnerability class; document the escalation path."
BSI_OPS113_A2,"OPS -- Operations",Regular scanning for known vulnerabilities (OPS.1.1.3.A2),high,"All IT systems and applications in scope must be regularly scanned for known vulnerabilities using automated tooling. Scan results must be documented, triaged, and fed into the remediation workflow. The scan schedule must be at least as frequent as the patch management SLAs require.",reuse_standard_signal,SBOM,GDPR_Art_32;ISO_27001_A.8.8,,https://www.bsi.bund.de/dok/OPS-1-1-3,"Deploy continuous vulnerability scanning (SAST, DAST, SCA) in the CI pipeline; generate weekly posture reports; feed confirmed vulnerabilities into the remediation tracker automatically."
BSI_OPS113_A3,"OPS -- Operations",Timely application of security patches (OPS.1.1.3.A3),high,"Security patches must be applied within the time limits defined in the patch management concept. Critical and high-severity patches must be prioritised over other maintenance activities. Where patching is temporarily infeasible, a compensating control must be documented and approved by the information security officer.",reuse_standard_signal,SBOM,GDPR_Art_32;ISO_27001_A.8.8,,https://www.bsi.bund.de/dok/OPS-1-1-3,"Automate patch deployment for OS and runtime images in the CI/CD pipeline; track outstanding patches by severity class; escalate unpatched critical items to management within the defined SLA window."
BSI_OPS115_A1,"OPS -- Operations",Backup and recovery concept (OPS.1.1.5.A1),high,"A comprehensive backup and recovery concept must define the scope, schedules, retention periods, media types, and recovery procedures for all systems in scope. The concept must be aligned with the RPO and RTO requirements from the backup requirements analysis (CON.3.A1) and reviewed at defined intervals.",context_doc,evidence/ops115-a1-backup-recovery.md,GDPR_Art_32;ISO_27001_A.8.13,BSI_CON3_A2,https://www.bsi.bund.de/dok/OPS-1-1-5,"Align the operational backup configuration with the approved concept; automate alerting on backup failures; store at least one backup copy in a separate security zone from the primary systems."
BSI_OPS115_A3,"OPS -- Operations",Backup of key configuration data (OPS.1.1.5.A3),high,"Configuration data essential for system recovery including application configuration, infrastructure-as-code definitions, secrets references, and certificate metadata must be backed up separately from application data and stored securely. Configuration backup must be tested as part of recovery drills.",context_doc,evidence/ops115-a3-config-backup.md,GDPR_Art_32;ISO_27001_A.8.13,,https://www.bsi.bund.de/dok/OPS-1-1-5,"Version-control all infrastructure configuration in a separate repository; include configuration restore in the recovery runbook; test configuration restore at least once per quarter."
BSI_OPS115_A4,"OPS -- Operations",Restore testing and documentation (OPS.1.1.5.A4),high,"Recovery procedures must be tested at regular intervals to verify that data can be restored within the agreed RTO. Test results must be documented including the time taken and the completeness of the recovered data. Failures must be tracked and remediated before the next test cycle.",context_doc,evidence/ops115-a4-restore-testing.md,GDPR_Art_32;ISO_27001_A.8.13,,https://www.bsi.bund.de/dok/OPS-1-1-5,"Schedule and run quarterly restore tests across all backup tiers; document the time taken and data completeness; report test outcomes to the information security officer."
BSI_OPS22_A1,"OPS -- Operations",Cloud usage strategy (OPS.2.2.A1),high,"A documented cloud usage strategy must be established defining which data types, workloads, and processes may be processed in cloud environments, which cloud service and deployment models are permissible, and which data residency and sovereignty requirements must be satisfied. The strategy must be approved by management.",context_doc,evidence/ops22-a1-cloud-strategy.md,GDPR_Art_46;GDPR_Art_44;ISO_27001_A.5.23,,https://www.bsi.bund.de/dok/OPS-2-2,"Write and approve a cloud usage policy explicitly addressing data classification, residency, and sovereign cloud requirements; review when a new cloud service is onboarded or the regulatory context changes."
BSI_OPS22_A2,"OPS -- Operations",Classification of cloud service criticality (OPS.2.2.A2),high,"Cloud services used by the institution must be classified according to their criticality and the sensitivity of data they process. The classification must drive the appropriate level of security controls, due diligence requirements, and contractual obligations for each service.",context_doc,evidence/ops22-a2-cloud-classification.md,GDPR_Art_28;ISO_27001_A.5.23,,https://www.bsi.bund.de/dok/OPS-2-2,"Maintain a cloud service inventory with criticality classification; apply more stringent vetting to services processing personal or sensitive data; review the inventory when services are added or changed."
BSI_OPS22_A3,"OPS -- Operations",Security requirements for cloud service providers (OPS.2.2.A3),high,"Minimum security requirements must be defined for cloud service providers handling organisational data. Requirements must address certifications (BSI C5, ISO 27001, or SOC 2 Type II), data residency commitments, subprocessor transparency, audit rights, and incident notification obligations.",context_doc,evidence/ops22-a3-cloud-provider-requirements.md,GDPR_Art_28;ISO_27001_A.5.20;ISO_27001_A.5.23,,https://www.bsi.bund.de/dok/OPS-2-2,"Define a minimum certification bar for cloud providers processing personal data; require evidence of compliance before onboarding; reassess annually and at each contract renewal."
BSI_OPS22_A4,"OPS -- Operations",Cloud service agreement and data processing contract (OPS.2.2.A4),high,"A written agreement must be in place with each cloud service provider covering information security obligations, data processing terms compliant with applicable data protection law, incident reporting obligations, audit rights, and exit provisions. The agreement must be reviewed before each contract renewal.",context_doc,evidence/ops22-a4-cloud-contract.md,GDPR_Art_28;GDPR_Art_46;ISO_27001_A.5.20,,https://www.bsi.bund.de/dok/OPS-2-2,"Review all cloud provider contracts for the required clauses before go-live; ensure DPA terms cover all personal data processing; track contract renewal dates in the compliance calendar."
BSI_OPS23_A1,"OPS -- Operations",Cloud-native service security baseline (OPS.2.3.A1),high,"Cloud-native services including managed databases, message queues, serverless functions, and object storage must be configured in accordance with the provider's published security baseline and any applicable CIS benchmark or equivalent hardening guide. Default configurations that expose public endpoints or disable encryption must be explicitly overridden before deployment.",reuse_standard_signal,CRYPTO,GDPR_Art_32;ISO_27001_A.8.9,,https://www.bsi.bund.de/dok/OPS-2-3,"Run infrastructure-as-code security scanning (tfsec, checkov, or equivalent) on all cloud resource definitions; block deployments that fail mandatory security checks; review benchmark compliance quarterly."
BSI_DER1_A1,"DER -- Detection and Response",Detection concept (DER.1.A1),high,"A concept for the detection of security-relevant events must be established. The concept must define which event sources are monitored, what constitutes a security event requiring response, the responsible parties for detection, and the escalation path to the incident management process. The concept must be reviewed annually.",reuse_standard_signal,OBS,GDPR_Art_32;ISO_27001_A.8.16,,https://www.bsi.bund.de/dok/DER-1,"Document the detection concept; map it to the incident response procedure; review and update when significant infrastructure changes are made."
BSI_DER1_A2,"DER -- Detection and Response",Central logging (DER.1.A2),high,"Security-relevant events must be logged centrally. Log sources must include authentication events, privileged access, system and application errors, network perimeter events, and changes to security configuration. Logs must be protected from tampering and retained for a defined minimum period appropriate to incident investigation timelines.",reuse_standard_signal,OBS,GDPR_Art_32;GDPR_Art_33;ISO_27001_A.8.15;ISO_27001_A.8.17,,https://www.bsi.bund.de/dok/DER-1,"Deploy centralised log aggregation (SIEM or equivalent); enforce log retention of at least 90 days active and 12 months archived for audit-relevant events; protect log integrity with write-once storage or cryptographic sealing."
BSI_DER1_A3,"DER -- Detection and Response",Alert thresholds and escalation (DER.1.A3),high,"Alert rules must be configured for high-priority security events including authentication failures, privilege escalation, unexpected outbound connections, and availability degradation. Alerts must be routed to the responsible team and escalated to incident management if not acknowledged within a defined timeframe.",reuse_standard_signal,OBS,GDPR_Art_32;GDPR_Art_33;ISO_27001_A.8.16,,https://www.bsi.bund.de/dok/DER-1,"Define and test alert rules for each event class; establish on-call routing and acknowledgement SLAs; test alerting end-to-end at least quarterly using synthetic events."
BSI_DER21_A1,"DER -- Detection and Response",Incident management concept (DER.2.1.A1),high,"A documented incident management concept must define the classification of security incidents, roles and responsibilities for detection and response, escalation procedures, communication requirements (internal and to supervisory authorities), and criteria for incident closure. The concept must be tested through tabletop exercises.",context_doc,evidence/der21-a1-incident-management.md,GDPR_Art_33;GDPR_Art_34;ISO_27001_A.5.26,,https://www.bsi.bund.de/dok/DER-2-1,"Write and test the incident response plan; ensure the plan covers personal data breaches explicitly with notification timelines; rehearse with a tabletop exercise at least annually."
BSI_DER21_A2,"DER -- Detection and Response",Incident classification and prioritisation (DER.2.1.A2),high,"Security incidents must be classified and prioritised according to their impact, urgency, and scope. Classification criteria must be documented and applied consistently. Personal data breaches must be identified as a distinct incident class that triggers data protection notification obligations under applicable law.",context_doc,evidence/der21-a2-incident-classification.md,GDPR_Art_33;GDPR_Art_4;ISO_27001_A.5.25,,https://www.bsi.bund.de/dok/DER-2-1,"Define a severity matrix with clear escalation thresholds; train first responders on breach identification criteria; integrate breach detection rules into the SIEM alert set."
BSI_DER21_A3,"DER -- Detection and Response",Incident documentation and post-incident review (DER.2.1.A3),high,"All security incidents must be documented from detection through to closure. Documentation must capture timeline, impact, root cause, remediation actions taken, and lessons learned. A post-incident review must be conducted for significant incidents and findings fed back into the security programme.",context_doc,evidence/der21-a3-incident-docs.md,GDPR_Art_33;ISO_27001_A.5.27,,https://www.bsi.bund.de/dok/DER-2-1,"Use a structured incident record template; mandate post-incident review within 14 days of closure for high and critical incidents; track lessons-learned actions in the remediation register."
BSI_DER31_A1,"DER -- Detection and Response",Internal audit planning (DER.3.1.A1),high,"Information security audits must be planned and conducted at defined intervals. The audit scope must cover all components identified in the IT-Grundschutz modelling. Audit findings must be tracked with assigned owners and remediated within defined timeframes.",context_doc,evidence/der31-a1-audit-planning.md,GDPR_Art_24;ISO_27001_A.5.35,,https://www.bsi.bund.de/dok/DER-3-1,"Publish an annual internal audit schedule; assign qualified auditors independent of the functions they audit; track findings in the remediation register with defined completion dates."
BSI_DER31_A2,"DER -- Detection and Response",Auditing information security measures (DER.3.1.A2),high,"Implemented information security measures must be regularly audited for effectiveness. Audits must include both documentary review and technical testing. Results must be reported to management and used to improve the information security programme. Technical test findings must be fed into the remediation workflow.",context_doc,evidence/der31-a2-audit-effectiveness.md,GDPR_Art_32;ISO_27001_A.5.35;ISO_27001_A.5.36,,https://www.bsi.bund.de/dok/DER-3-1,"Include technical penetration testing and configuration review in the annual audit programme; present results to the CISO or equivalent; require management sign-off on the remediation plan."
BSI_DER4_A1,"DER -- Detection and Response",Business continuity plan (DER.4.A1),high,"A business continuity plan (BCP) must be established covering the loss of IT services, key personnel, and critical infrastructure. The BCP must define recovery priorities, minimum service levels, and communication procedures for major incidents. The plan must be aligned with the RTO objectives defined in the backup requirements analysis.",context_doc,evidence/der4-a1-bcp.md,GDPR_Art_32;ISO_27001_A.5.29,,https://www.bsi.bund.de/dok/DER-4,"Write and approve the BCP; align recovery priorities with the business impact analysis; test the plan with a tabletop exercise annually and update it based on test findings."
BSI_DER4_A2,"DER -- Detection and Response",Business continuity testing (DER.4.A2),high,"Business continuity and disaster recovery plans must be tested at defined intervals to verify that recovery objectives can be met. Test results must be documented and used to improve the plan. Critical staff must be trained on their continuity roles and the current contact list must be maintained.",context_doc,evidence/der4-a2-bcp-testing.md,GDPR_Art_32;ISO_27001_A.5.30,,https://www.bsi.bund.de/dok/DER-4,"Conduct an annual BCP test; document the outcome and identify gaps; ensure that key recovery personnel have been briefed and the contact directory is current."
BSI_APP31_A1,"APP -- Applications",Authentication for web applications and services (APP.3.1.A1),high,"Web applications and web services must enforce strong authentication for all users accessing sensitive functions or data. Default credentials must be changed before deployment. Authentication mechanisms must be resistant to common attacks including brute force, credential stuffing, and session fixation. Privileged access must require multi-factor authentication.",reuse_standard_signal,IAM,GDPR_Art_32;GDPR_Art_25;ISO_27001_A.8.5;ISO_27001_A.8.26,,https://www.bsi.bund.de/dok/APP-3-1,"Implement multi-factor authentication for all privileged access; enforce account lockout after a defined number of failed attempts; use standard, well-reviewed authentication libraries."
BSI_APP31_A2,"APP -- Applications",Access control for web applications (APP.3.1.A2),high,"Access control in web applications must enforce the principle of least privilege. Every function and data object must have a server-side access control check. Access control decisions must not rely solely on client-supplied parameters. Horizontal and vertical privilege escalation must be tested as part of the security acceptance process.",reuse_standard_signal,IAM,GDPR_Art_32;GDPR_Art_5_1_c;ISO_27001_A.8.2;ISO_27001_A.8.26,,https://www.bsi.bund.de/dok/APP-3-1,"Implement server-side authorisation for every sensitive endpoint; audit access control coverage with automated testing; document the access control matrix for each user role."
